class,alcohol,malicAcid,ash,alcalinityOfAsh,magnesium,totalPhenols,flavanoids,nonFlavanoidPhenols,proanthocyanins,colorIntensity,hue,od280Od315,proline
0,12.91,1.8,2.31,21.04,113,2.81,1.58,0.36,0.72,5.13,1.19,3.01,975
2,11.34,3.34,2.1,18.24,99,1.55,0.29,0.48,1.34,7.38,1.22,1.41,906
2,11.77,3.9,2.2,18.62,82,2.03,0.78,0.57,2.61,5.1,0.86,1.64,688
2,13.45,1.66,2.17,11.66,104,1.3,0.94,0.38,1.86,7.36,0.65,1.63,801
2,12.35,2.12,2.07,15.8,85,1.49,0.29,0.59,2.54,10.64,0.68,1.44,834
2,11.14,2.78,1.87,17.07,80,1.43,1.42,0.55,1.48,8.76,0.77,1.22,752
1,11.49,2.24,2.41,15.25,89,1.31,0.38,0.47,2.3,10.23,1.2,3.07,674
0,13.84,1.69,2.4,19.39,109,2.46,2.0,0.49,1.42,5.22,1.04,2.74,961
2,11.51,1.5,1.89,17.25,90,2.17,1.45,0.46,2.22,9.93,0.7,1.39,702
0,12.41,1.34,2.65,16.9,111,1.74,0.07,0.67,1.48,4.28,1.18,2.68,747
0,13.94,1.33,2.02,19.73,81,3.32,2.32,0.46,1.57,4.29,1.25,2.67,1435
2,12.83,4.04,2.54,15.79,90,1.83,1.39,0.56,1.64,4.56,0.59,1.74,859
0,13.06,1.74,2.57,12.29,117,2.5,1.51,0.55,1.45,7.27,0.8,2.6,1153
0,12.72,1.6,2.7,13.73,123,2.58,0.85,0.69,0.84,6.05,1.38,2.6,1370
2,11.42,2.77,2.47,21.67,118,1.67,0.45,0.43,2.08,7.65,1.17,1.5,777
0,11.24,2.16,2.52,16.4,84,3.03,2.48,0.38,0.64,3.06,1.26,3.38,514
2,13.0,4.41,1.96,24.92,89,1.19,0.45,0.49,2.57,8.87,0.93,1.13,670
2,12.81,3.57,2.17,15.86,85,0.94,1.0,0.46,1.34,9.59,0.76,1.7,452
2,11.14,3.66,2.4,25.83,86,1.5,-0.06,0.65,2.0,5.65,0.75,1.31,865
1,12.7,1.97,2.21,16.46,84,2.21,2.17,0.58,2.01,3.74,1.28,2.29,536
2,11.79,4.68,1.93,23.52,82,1.49,0.18,0.53,1.53,8.57,0.69,2.25,818
1,13.23,1.78,2.59,20.72,103,2.37,2.41,0.3,1.82,6.88,1.19,3.28,556
2,13.4,4.71,2.11,18.14,111,1.25,0.49,0.45,1.81,5.67,0.86,1.76,680
1,11.97,1.75,1.97,18.33,121,2.78,2.88,0.57,1.22,3.48,0.84,2.84,630
0,12.77,1.63,2.14,19.8,103,2.47,1.92,0.32,1.62,4.2,1.02,2.94,1209
1,13.39,1.77,2.07,15.55,100,2.94,1.99,0.22,1.96,3.54,1.25,2.77,591
1,11.05,1.96,2.12,23.1,80,1.35,1.4,0.65,2.28,4.1,1.09,1.84,526
2,11.47,4.99,2.31,17.74,114,1.88,-0.19,0.52,1.87,3.72,1.35,1.28,807
0,13.37,2.38,2.05,15.84,101,1.39,3.17,0.52,1.26,6.52,1.34,3.14,451
1,13.32,1.58,2.61,19.59,105,2.63,2.06,0.39,1.75,4.72,0.92,2.66,1592
1,11.49,1.29,2.18,14.04,103,2.62,2.19,0.57,1.5,8.99,1.08,2.85,1603
0,13.63,2.05,1.93,14.13,106,2.17,1.46,0.41,1.07,1.82,1.38,2.52,1249
0,12.88,1.73,2.39,13.53,95,2.18,0.95,0.54,1.35,9.82,0.88,2.55,801
0,13.18,1.65,2.15,18.93,98,2.02,3.25,0.38,1.27,6.24,1.3,3.31,775
1,12.5,1.48,2.66,15.87,81,1.17,1.51,0.45,1.5,9.16,1.02,1.21,691
2,11.7,3.62,2.45,13.09,109,1.4,0.34,0.47,1.84,5.52,0.9,1.68,781
2,11.51,5.44,1.67,22.17,107,1.52,0.63,0.55,2.21,7.93,0.75,1.48,754
2,11.78,3.98,2.3,15.58,109,2.35,2.64,0.59,1.44,6.25,1.25,2.09,556
0,13.44,2.11,2.11,19.44,94,1.64,2.56,0.3,2.09,3.79,1.47,2.46,1359
0,13.98,1.56,2.38,17.33,73,2.48,2.51,0.36,1.68,5.61,1.39,2.39,1462
1,11.51,2.06,2.11,18.65,99,1.49,1.86,0.49,1.63,7.08,0.64,1.72,772
0,12.96,2.04,1.79,22.68,96,1.84,1.74,0.36,1.74,5.69,1.55,2.59,1324
